[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:44] INFO - 0147 | 에이아이에이프리미어파트너스㈜ | [AIA파주운정지점 7월 특별혜택]신입 설계사 채용/정착지원금&DB제공 | 8시간 전 등록
[2025-07-08 06:00:45] INFO - 0148 | ㈜디렉터홀딩스 | 피부과 네트워크 기획운영팀 채용 | 8시간 전 등록
[2025-07-08 06:00:45] INFO - 0149 | ㈜케이씨엠에스 | 수원 삼성전자 차세대 SCM 개발 (t09) | 8시간 전 등록
[2025-07-08 06:00:45] INFO - 0150 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-08 06:00:45] INFO - ⏱ 3.42초 대기
[2025-07-08 06:00:49] INFO - 
📄 현재 페이지: 4
[2025-07-08 06:00:49] INFO - 0151 | ㈜오픈테크 | 결제수단 pjt 개발자 모집 | 8시간 전 등록
[2025-07-08 06:00:49] INFO - 0152 | ㈜비전브릿지파트너스 | [서비스운영] K-POP 글로벌 팬덤 플랫폼 운영 담당자 모집 | 8시간 전 등록
[2025-07-08 06:00:49] INFO - 0153 | 메이리 | 시청&중식당&홀직원&홀서빙 정직원 구합니다 | 8시간 전 등록
[2025-07-08 06:00:50] INFO - 0154 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-07-08 06:00:50] INFO - 0155 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
